"Rank","NCT Number","Title","Recruitment","Study Results","Conditions","Interventions","Sponsor/Collaborators","Gender","Age Groups","Phases","Enrollment","Funded Bys","Study Types","Study Designs","Other IDs","First Received","Start Date","Completion Date","Last Updated","Last Verified","Results First Received","Acronym","Primary Completion Date","Outcome Measures","URL"
11,"NCT00001457","Lamivudine for Chronic Hepatitis B","Completed","No Results Available","Chronic Hepatitis B|Chronic Hepatitis D|Glomerulonephritis|Polyarteritis Nodosa","Drug: Lamivudine","National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)|National Institutes of Health Clinical Center (CC)","Both","Child|Adult|Senior","Phase 2","60","NIH","Interventional","Endpoint Classification: Safety/Efficacy Study|Primary Purpose: Treatment","950199|95-DK-0199","November 3, 1999","September 1995","September 2005","March 3, 2008","September 2005","No Study Results Posted","null","null","","https://ClinicalTrials.gov/show/NCT00001457"
12,"NCT02103439","An Open-label Randomized Multicenter Phase III Clinical Study Comparing Safety and Efficacy of Algeron (Cepeginterferon Alfa-2b) and and PegIntron (Peginterferon Alfa-2b) in Combination With Ribavirin as Combined Treatment of Chronic Hepatitis C in Human Immunodeficiency Virus-1 Infected Patients","Active, not recruiting","Has Results","Hepatitis|Hepatitis C|Hepatitis C/ Human Immunodeficiency Virus Coinfection","Drug: Algeron|Drug: PegIntron","Biocad","Both","Adult|Senior","Phase 3","140","Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label","BCD-016-4","April 1, 2014","September 2013","December 2015","July 22, 2015","July 2015","May 21, 2015","null","July 2014","Early Virological Response|Early Virological Response in Patients With Different Hepatitis C Virus Genotypes|Rapid Virological Response|Rapid Virological Response in Patients With Different Hepatitis C Virus Genotypes|Viral Breakthrough|Biochemical Response","https://ClinicalTrials.gov/show/NCT02103439"
13,"NCT00946010","Investigation of Hepatitis B and Hepatitis C in Taiwan","Completed","No Results Available","Hepatitis B|Hepatitis C","Biological: blood sampling and abdominal sonography","National Taiwan University Hospital","Both","Adult|Senior","","6228","Other","Observational","Observational Model: Case-Only|Time Perspective: Cross-Sectional","200801059R","April 1, 2008","April 2008","January 2011","January 20, 2011","January 2011","No Study Results Posted","null","August 2010","genotype and DNA level or RNA level of HBV and HCV virus","https://ClinicalTrials.gov/show/NCT00946010"
14,"NCT02108444","Hepatitis B Virus Reactivation After Withdrawal of Prophylactic Antiviral Therapy in Lymphoma Patients","Completed","No Results Available","Hepatitis|Hepatitis B|Lymphoma|Hematologic Diseases","","Peking University","Both","Adult|Senior","Phase 4","107","Other","Observational","Observational Model: Case Control|Time Perspective: Retrospective","PKU 2013-Autonomous-9","March 30, 2014","January 2007","March 2014","July 22, 2014","July 2014","No Study Results Posted","null","December 2013","the incidence of hepatitis B virus delayed reactivation|the incidence of hepatitis B virus related hepatitis flare|Number of patients that achieve a tumor response|overall survival rate","https://ClinicalTrials.gov/show/NCT02108444"
15,"NCT02123212","Birth-Cohort Evaluation to Advance Screening and Testing for Hepatitis C","Completed","No Results Available","Hepatitis C|Chronic Hepatitis C","Other: Mailer|Other: In-person recruitment|Other: EHR Alert","National Opinion Research Center|NORC at the University of Chicago|University of Alabama at Birmingham|Henry Ford Health System|Icahn School of Medicine at Mount Sinai|Centers for Disease Control and Prevention","Both","Adult|Senior","","29607","Other|U.S. Fed","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Primary Purpose: Screening|Masking: Open Label","527-11 SC|6960","April 22, 2014","February 2013","March 2014","March 25, 2015","March 2015","No Study Results Posted","Best-C","March 2014","Positive Hepatitis C Test|Tested for Hepatitis C","https://ClinicalTrials.gov/show/NCT02123212"
16,"NCT00439959","Monotherapy Versus Placebo Over 14 or 17 Days in Healthy and Hepatitis C Infected Adults","Terminated","No Results Available","Hepatitis C, Chronic|Hepatitis C","Drug: GSK625433/placebo","GlaxoSmithKline","Both","Adult","Phase 1","48","Industry","Interventional","Allocation: Randomized|Endpoint Classification: Pharmacokinetics/Dynamics Study|Intervention Model: Single Group Assignment|Primary Purpose: Diagnostic|Masking: Double-Blind","HSP108233","February 22, 2007","October 2006","March 2007","May 31, 2012","March 2011","No Study Results Posted","null","March 2007","Safety parameters: adverse events; telemetry; clinical laboratory values, vital signs, and ECGs. Plasma levels of GSK625433. Change in HCV viral load. Taken throughout the study|Plasma levels of GSK625433. Metabolic analysis of CYP substrates to estimate enzyme activity. Resistance analysis for subjects with HCV infection. Taken throughout the study","https://ClinicalTrials.gov/show/NCT00439959"
17,"NCT01995071","A Study to Evaluate the Safety and Antiviral Effect of Multiple Doses of ABT-493 and ABT-530 in Adults With Genotype 1 Hepatitis C Virus (HCV)","Completed","No Results Available","Chronic Hepatitis C|Hepatitis C Virus|Compensated Cirrhosis","Drug: ABT-493|Drug: ABT-530|Drug: ABT-450/r/ABT-267|Drug: ABT-333|Drug: Ribavirin (RBV)","AbbVie","Both","Adult|Senior","Phase 2","89","Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label","M13-595","November 21, 2013","November 2013","June 2015","June 25, 2015","June 2015","No Study Results Posted","null","June 2015","Maximal decrease in log10 hepatitis C virus ribonucleic acid levels from baseline|The percentage of subjects with sustained virologic response 12 weeks post-treatment|The percentage of subjects with on-treatment virologic failure during the treatment period|The percentage of subjects with post-treatment relapse","https://ClinicalTrials.gov/show/NCT01995071"
18,"NCT00782301","Maraviroc Versus Etravirine In Combination With Antiretroviral Therapy In Drug Experienced HIV And Hepatitis Co-Infected Patients","Withdrawn","No Results Available","Hepatitis B|Human Immunodeficiency Virus|Hepatitis C, Chronic","Drug: maraviroc|Drug: etravirine","ViiV Healthcare|Pfizer","Both","Child|Adult|Senior","Phase 4","0","Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label","A4001080","October 29, 2008","March 2009","February 2010","January 18, 2012","January 2012","No Study Results Posted","null","February 2010","Percentage of subjects with Grade 3 and Grade 4 ALT test abnormalities associated with a change from baseline ALT ≥100 IU/L through Week 48.|Percentage of HCV treated subjects with Grade 3 and Grade 4 ALT test abnormalities associated with a change from baseline ALT ≥100 IU/L through 96.|Time to development of Grade 3 and Grade 4 ALT test abnormalities associated with a change from baseline ALT ≥100 IU/L.|Percentage of subjects with Hy's law abnormalities through Week 48.|Percentage of HCV treated subjects with Hy's law abnormalities through Week 96.|Change from baseline in mean Hepatitis C viral load through Week 48|Undetectable HCV viral load 24 weeks after stopping HCV treatment.|Percentage of subjects with HIV-1 RNA levels <48 copies/mL at Week 48.|Change from baseline in CD4+ cell count at Week 48.|Change from baseline in mean hepatitis B DNA through Week 48","https://ClinicalTrials.gov/show/NCT00782301"
19,"NCT00289731","Effect of Risk Factors Likely to Influence Immuno of Combined Hepatitis A & B Vacc vs Monovalent Hepatitis A & B Vacc","Completed","No Results Available","Hepatitis B|Hepatitis A","Biological: TWINRIX™|Biological: Engerix™-B|Biological: HAVRIX™|Biological: HB VAX PRO™|Biological: Vaqta™","GlaxoSmithKline","Both","Adult|Senior","Phase 4","577","Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Prevention|Masking: Open Label","100382|100383|100384|100385","February 9, 2006","November 2003","May 2007","October 27, 2011","October 2011","No Study Results Posted","null","May 2007","Anti- HAV and anti-HBs- concentrations|Anti-HAV, and anti-HBs antibody concentrations.|Occurrence, intensity and relationship to vaccination of all serious adverse events (SAEs).|Occurrence, intensity and relationship to vaccination of SAEs with causal relationship to vaccination or referring to hepatitis A or B infection.","https://ClinicalTrials.gov/show/NCT00289731"
20,"NCT02243293","A Study to Evaluate the Efficacy, Safety, and Pharmacokinetics of Co-Administration of ABT-493 and ABT-530 With and Without RBV in Subjects With Chronic Hepatitis C Virus (HCV) Genotype 2 or Genotype 3 Infection","Recruiting","No Results Available","Chronic Hepatitis C|Hepatitis C Virus","Drug: ABT-493|Drug: ABT-530|Drug: Ribavirin (RBV)","AbbVie","Both","Adult|Senior","Phase 2","350","Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label","M14-868|2014-002927-90","September 4, 2014","January 2014","February 2016","July 29, 2015","July 2015","No Study Results Posted","null","February 2016","Percentage of subjects who achieve 12-week sustained virologic response (SVR12) in each treatment arm|Percentage of subjects who achieve 4-week sustained virologic response (SVR4) in each treatment arm|Percentage of subjects with virologic failure during treatment|Percentage of subjects with Post-Treatment relapse","https://ClinicalTrials.gov/show/NCT02243293"
21,"NCT02442284","A Study to Evaluate the Safety and Efficacy of Ombitasvir/Paritaprevir/Ritonavir and Dasabuvir With or Without Ribavirin in US Veterans With Genotype 1 Chronic Hepatitis C Virus Infection","Recruiting","No Results Available","Chronic Hepatitis C|Cirrhosis|Hepatitis C Virus","Drug: Ombitasvir|Drug: Paritaprevir|Drug: Ritonavir|Drug: Dasabuvir|Drug: Ribavirin","AbbVie","Both","Adult|Senior","Phase 3","100","Industry","Interventional","Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label","M14-251","May 11, 2015","May 2015","October 2016","October 9, 2015","October 2015","No Study Results Posted","null","July 2016","Percentage of participants with Sustained Virologic Response 12 weeks post-treatment|Percentage of participants with virologic failure during treatment|Percentage of participants with virologic relapse post-treatment|Percentage of participants with Sustained Virologic Response 12 weeks post-treatment among participants with ongoing psychiatric disorders","https://ClinicalTrials.gov/show/NCT02442284"
22,"NCT02219503","A Study to Evaluate the Safety and Efficacy of Ombitasvir/ABT-450/Ritonavir and Dasabuvir in Adults With Genotype 1b Chronic Hepatitis C Virus (HCV) Infection and Cirrhosis","Completed","No Results Available","Chronic Hepatitis C Infection|Compensated Cirrhosis|Hepatitis C Virus","Drug: ombitasvir/ABT-450/ritonavir|Drug: dasabuvir","AbbVie","Both","Adult|Senior","Phase 3","60","Industry","Interventional","Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label","M14-490|2014-001953-18","August 15, 2014","September 2014","September 2015","October 9, 2015","October 2015","No Study Results Posted","TURQUOISE-III","June 2015","Percentage of participants with Sustained Virologic Response 12 weeks post-treatment|Percentage of participants with on-treatment virologic failure|Percentage of participants with post-treatment relapse","https://ClinicalTrials.gov/show/NCT02219503"
23,"NCT00289718","Long-Term Immune Persistence of GSK Biologicals' Combined Hepatitis A & B Vaccine Injected According to a 0,1,6 Month Schedule","Completed","Has Results","Hepatitis B|Hepatitis A","Biological: Twinrix™ adult","GlaxoSmithKline","Both","Adult|Senior","Phase 3","51","Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Prevention|Masking: Open Label","100556 (Y11)|100557 (Y12)|100558 (Y13)|100559 (Y14)|100560 (Y15)","February 9, 2006","November 2004","January 2009","November 6, 2014","November 2014","January 11, 2010","null","January 2009","Anti-hepatitis A Virus (Anti-HAV) Antibody Concentration|Anti-hepatitis B Surface Antigen (Anti-HBs) Antibody Concentration|Anti-Hepatitis B Surface Antigen (Anti-HBs) Antibody Concentration|Number of Subjects Reporting Serious Adverse Events (SAE) Assessed by the Investigators as Related to Vaccination or to Study Procedures or Lack of Efficacy|Number of Subjects Reporting Solicited Local Symptoms|Number of Subjects Reporting Solicited General Symptoms|Number of Subjects Reporting Unsolicited Adverse Events (AE)|Number of Subjects Reporting Serious Adverse Events (SAE)","https://ClinicalTrials.gov/show/NCT00289718"
24,"NCT02068222","A Study to Evaluate the Safety and Antiviral Effect of ABT-450/Ritonavir and ABT-530 Coadministered With and Without Ribavirin in Adults With Genotype 3 Hepatitis C (HCV) Infection","Completed","No Results Available","Chronic Hepatitis C|Hepatitis C Virus","Drug: ABT-450/r|Drug: ABT-530|Drug: Ribavirin (RBV)","AbbVie","Both","Adult|Senior","Phase 2","12","Industry","Interventional","Allocation: Non-Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label","M14-213","February 19, 2014","April 2014","March 2015","March 13, 2015","March 2015","No Study Results Posted","null","March 2015","The percentage of subjects who achieve 12-week sustained virologic response (SVR12) in each treatment arm|The percentage of subjects who achieve 24-week sustained virologic response (SVR24) in each treatment arm|The percentage of subjects with virologic failure during treatment|The percentage of subjects with Post-Treatment relapse","https://ClinicalTrials.gov/show/NCT02068222"
25,"NCT02120274","Vitamin D and Vitamin B12 Supplementation With Pegylated Interferon-Alfa Plus Ribavirin for Treating Chronic Hepatitis C","Active, not recruiting","No Results Available","RNA Virus Infections|Flaviviridae Infections|Hepatitis C|Hepatitis C, Chronic","Drug: Vitamin D|Drug: Vitamin B 12","Federal University of São Paulo","Both","Adult|Senior","Phase 4","85","Other","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label","DB12SHCV|U1111-1155-6986","April 18, 2014","March 2014","January 2016","August 11, 2015","August 2015","No Study Results Posted","null","January 2016","SVR12|RVR, EVR, EOT","https://ClinicalTrials.gov/show/NCT02120274"
26,"NCT02219477","A Study to Evaluate the Safety and Efficacy of Ombitasvir/Paritaprevir/Ritonavir and Dasabuvir With Ribavirin in Adults With Genotype 1 and Ombitasvir/Paritaprevir/Ritonavir With Ribavirin in Adults With Genotype 4 Chronic Hepatitis C Virus Infection and Decompensated Cirrhosis","Active, not recruiting","No Results Available","Chronic Hepatitis C|Decompensated Cirrhosis|Hepatitis C Virus","Drug: ABT-450/ritonavir/ABT-267|Drug: ABT-333|Drug: Ribavirin","AbbVie","Both","Adult|Senior","Phase 3","60","Industry","Interventional","Allocation: Non-Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label","M14-227|2014-001477-13","August 15, 2014","November 2014","February 2017","October 16, 2015","October 2015","No Study Results Posted","TURQUOISE-CPB","June 2016","Percentage of participants with Sustained Virologic Response 12 weeks post-treatment|Percentage of participants with virologic failure during treatment|Percentage of participants with virologic relapse post-treatment|Percentage of participants with improvement in laboratory parameters associated with hepatic function|Percentage of Genotype 4 participants with Sustained Virologic Response 12 weeks post-treatment","https://ClinicalTrials.gov/show/NCT02219477"
27,"NCT00686790","Efficacy of Peginterferon Alfa-2b in Previously Untreated Subjects With Chronic Hepatitis B and D Co-infection (Study P04603)","Completed","Has Results","Hepatitis D, Chronic|Hepatitis B, Chronic","Biological: Peginterferon alfa-2b (PegIntron, SCH 54031)","Merck Sharp & Dohme Corp.","Both","Adult","Phase 3","68","Industry","Interventional","Endpoint Classification: Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label","P04603","May 27, 2008","December 2005","May 2009","September 24, 2015","September 2015","December 21, 2010","null","May 2009","Number of Participants With a Virological Response|Number of Participants With a Biochemical Response|Number of Participants With a Combined Response|Number of Participants With Hepatitis B Virus (HBV) Replication Response (HBV Response)|Number of Participants With a Liver Histology Response","https://ClinicalTrials.gov/show/NCT00686790"
28,"NCT01908660","Hepatic Safety of Currently Used Antiretroviral Regimens in Patients With Chronic Hepatitis Under Real Life Conditions","Recruiting","No Results Available","Human Immunodeficiency Virus|Hepatitis B, Chronic|Hepatitis C, Chronic","Drug: antiretroviral drugs","Valme University Hospital|Hospital Universitario Virgen de la Victoria|Hospital Universitario Reina Sofia|Hospital Torrecárdenas|Hospital de la Línea de la Concepción|Hospital Poniente|Hospital Universitario Virgen Macarena|Complejo Hospitalario de Especialidades Juan Ramón Jimenez","Both","Adult|Senior","","500","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","SEG-HEP-2007","June 28, 2013","January 2007","October 2015","December 11, 2014","May 2014","No Study Results Posted","null","September 2015","Incidence of grade 3 or 4 transaminase elevations|Incidence of grade 3 or 4 bilirubin elevations|Percentage of patients with undetectable HIV RNA at the end of follow-up|CD4 cell count at the end of follow-up","https://ClinicalTrials.gov/show/NCT01908660"
29,"NCT00289744","Long-Term Immune Persistence of GSK Biologicals' Combined Hepatitis A & B Vaccine Injected According to a 0,6 Month Schedule","Completed","Has Results","Hepatitis B|Hepatitis A","Biological: TWINRIX™ ADULT|Biological: Engerix TM","GlaxoSmithKline","Both","Child","Phase 3","171","Industry","Interventional","Allocation: Non-Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Prevention|Masking: Open Label","100561 (Y6)|100562 (Year 7)|100563 (Year 8)|100564 (Year 9)|100565 (Year 10)","February 9, 2006","February 2004","April 2009","October 2, 2014","October 2011","April 8, 2010","null","April 2009","Anti-hepatitis A Virus (Anti-HAV) Antibody Concentration|Anti-hepatitis B Surface Antigen (Anti-HBs) Antibody Concentration|Number of Subjects With Immune Response to the Additional Dose of Engerix™-B|Number of Subjects Reporting Serious Adverse Events (SAEs) Assessed by the Investigator as Causally Related to Primary Vaccination, Study Procedures or Lack of Vaccine Efficacy|Number of Subjects Reporting Solicited Local and General Symptoms|Number of Subjects Reporting Unsolicited Adverse Events|Number of Subjects Reporting Serious Adverse Events (SAEs)","https://ClinicalTrials.gov/show/NCT00289744"
